slug|title|summary|description|norm_low|norm_mid|norm_high|below|normal|above|prep|tags
glucose|Глюкоза (натощак)|Ключевой тест для диагностики диабета.|Глюкоза натощак: норма и отклонения.|<3.9|3.9–6.1|>7.0|Гипогликемия: слабость, потливость, головокружение.|В пределах нормы.|Высокий уровень — риск преддиабета/диабета, нужна консультация врача.|Натощак 8–12 ч; избегать сладкого и алкоголя перед сдачей.|глюкоза,диабет,nat 
hba1c|HbA1c (гликированный Hb)|Отражает средний уровень глюкозы за 2–3 месяца.|HbA1c для диагностики диабета и контроля лечения.|<4.0|<5.7|>=6.5|Очень низкие значения редки; возможна гемолитическая анемия.|Норма: <5.7%.|≥6.5% — критерий диабета при подтверждении.|Не требует натощак; укажите лекарства.|HbA1c,гликированный
hemoglobin|Гемоглобин (Hb)|Переносчик кислорода — важный маркер анемии.|Гемоглобин: нормы мужчина/женщина, причины изменения.|M:<130;F:<120|M:130–170;F:120–150|M:>170;F:>160|Понижен — анемия, слабость, бледность.|В пределах нормы.|Повышен — дегидратация, полицитемия; требует проверки.|Сдавать утром, избегать нагрузок; сообщите препараты.|гемоглобин,анемия
rbc|Эритроциты (RBC)|Количество красных клеток крови.|RBC: низкие — анемия, высокие — дегидратация.|M:<4.5;F:<3.9|M:4.5–5.9;F:3.9–5.2|M:>6.0;F:>5.5|Понижение — анемия, кровотечение.|Норма: достаточно эритроцитов.|Повышение — дегидратация или полицитемия.|Натощак; избегать нагрузок.|эритроциты,кровь
wbc|Лейкоциты (WBC)|Иммунный индикатор — инфекция/воспаление.|WBC: повышение при инфекциях, понижение при вирусах.|<4.0|4.0–9.0|>11.0|Низкие — риск инфекций, иммунодефицит.|Норма: 4–9×10⁹/л.|Высокие — инфекция/воспаление; нужна дообследование.|Натощак не обязателен; избегать интенсивных нагрузок.|лейкоциты,воспаление
platelets|Тромбоциты (PLT)|Участвуют в свёртывании крови.|Тромбоциты: низкие — риск кровотечения, высокие — тромбоз.|<150|150–400|>450|Понижение — риск кровотечений.|Норма: 150–400×10⁹/л.|Повышение — воспаление, реактивный тромбоцитоз.|Не сдавать сразу после травм/операций.|тромбоциты,свертывание
esr|СОЭ (ESR)|Неспецифический маркер воспаления.|ESR повышается при воспалении и инфекциях.|M:>15;F:>20|M:2–10;F:3–15|>30|Высокая СОЭ — воспаление, хронические процессы.|Норма по возрасту/полу.|Очень высокая — активный воспалительный процесс.|Не требует подготовки.|soe,esr,воспаление
crp|C-реактивный белок (CRP)|Быстрый маркер воспаления.|CRP: острое воспаление или инфекция.|>10|<5|>100|Высокие — серьёзная инфекция/воспаление.|Нормальные низкие значения.|Очень высокие — сепсис и тяжёлые инфекции.|Не требует подготовки.|crp,воспаление
alt|АЛТ (ALT)|Показатель повреждения печени (гепатоциты).|АЛТ повышается при гепатите/повреждении печени.|>40|<40|>200|Повышение — гепатит, токсическое повреждение.|Норма зависит от лаборатории.|Очень высокие — острый гепатит/токсическое поражение.|Избегать алкоголя и жирной пищи перед сдачей.|alt,печень
ast|АСТ (AST)|Фермент печени и мышц.|АСТ повышается при повреждении печени и мышц.|>40|<40|>200|Повышение — повреждение печени/мышц.|Норма лабораторная.|Высокие — острое повреждение или инфаркт.|Информируйте о медикаментах.|ast,печень
bilirubin|Билирубин общий/прямой|Оценивает желтуху и печёночный обмен.|Повышение указывает на гемолиз или холестаз.|>20 µmol/L|3–20 µmol/L|>50|Высокий — желтуха, нарушение обмена билирубина.|Норма: обычно низкие значения.|Очень высокий — билиарная обструкция или гемолиз.|Не требует особой подготовки.|билирубин,печень
albumin|Альбумин|Основной белок сыворотки — статус питания.|Низкий альбумин связан с хроническими заболеваниями.|<35 g/L|35–50 g/L|>55 g/L|Низкий — хроническая болезнь, голодание.|Норма: достаточный уровень белка.|Высокий редко клинически значим.|Натощак не обязателен.|альбумин,питание
total-protein|Общий белок|Сумма белковых фракций крови.|Изменения указывают на воспаление/дегидратацию.|<60 g/L|60–80 g/L|>85 g/L|Низкий — белковый дефицит, нарушение синтеза.|В норме — хорошее состояние белкового обмена.|Высокий — хроническое воспаление.|Не требует подготовки.|белок,сыворотка
creatinine|Креатинин|Показатель функции почек.|Креатинин повышается при снижении GFR.|<40 µmol/L|60–110 µmol/L|>150 µmol/L|Низкий редко клинически значим.|Норма ориентировочно.|Высокий — почечная недостаточность.|Натощак; избегать мышечной нагрузки до сдачи.|креатинин,почки
egfr|eGFR|Расчёт функции почек по креатинину.|eGFR: оценка стадии ХБП.|<60 ml/min/1.73m2|>90 ml/min/1.73m2|<30 ml/min/1.73m2|Низкий — снижение клубочковой фильтрации.|Норма — нормальная функция почек.|Очень низкий — почечная недостаточность.|Укажите возраст и пол.|egfr,почки
urea|Мочевина|Метаболический маркер азотистого обмена.|Повышение при дегидратации/почечной дисфункции.|>7.2 mmol/L|2.5–7.2 mmol/L|>20 mmol/L|Высокая — почки, дегидратация.|Норма — адекватный обмен.|Очень высокие — почечная недостаточность.|Натощак предпочтителен.|мочевина,почки
ferritin|Ферритин|Запасы железа в организме.|Ферритин низкий при дефиците железа.|<15 µg/L|30–300 µg/L|>500 µg/L|Низкий — железодефицит, анемия.|Норма — достаточные запасы.|Очень высокий — воспаление/перегрузка железом.|Не обязательно натощак.|ферритин,железо
iron|Железо сывороточное|Плазменное железо — динамический показатель.|Низкий при дефиците, высокий при гемохроматозе.|<10 µmol/L|10–30 µmol/L|>35 µmol/L|Низкий — анемия дефицита железа.|Норма — достаточное железо.|Высокий — перегрузка железом.|Натощак предпочтителен.|железо,анемия
b12|Витамин B12|Дефицит вызывает неврологию/анемию.|B12: низкий — нейропатия и мегалобластная анемия.|<200 pg/mL|200–900 pg/mL|>900 pg/mL|Дефицит — утомляемость, парестезии.|Норма — хорошая витаминная обеспеченность.|Очень высокий — редко клинически значим.|Не требует строгого натощака.|b12,витамин
folate|Фолиевая кислота|Важна для кроветворения и беременности.|Низкий фолат — анемия, дефекты нервной трубки.|<5 ng/mL|5–20 ng/mL|>20 ng/mL|Дефицит — мегалобластная анемия.|Норма — достаточные запасы.|Высокие — обычно результат приема.|Не требует подготовки.|фолат,фолиевая
vitamin-d25|Витамин D (25-OH)|Оценка статуса витамин D.|Дефицит широко распространён и влияет на кости.|<20 ng/mL|30–50 ng/mL|>100 ng/mL|Дефицит — риск остеопороза, мышечной слабости.|Оптимальный уровень — 30–50.|Очень высокий — токсичность возможна.|Не требует натощак.|vitamin_d,витамин_d25
